iteration,individual,inventory
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,2
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,1
2,15,0
2,16,1
2,17,0
3,0,1
3,1,1
3,2,0
3,3,0
3,4,1
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,1
3,11,0
3,12,1
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
4,0,1
4,1,1
4,2,1
4,3,0
4,4,0
4,5,0
4,6,2
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,1
5,0,2
5,1,1
5,2,2
5,3,0
5,4,1
5,5,0
5,6,0
5,7,0
5,8,1
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
6,0,2
6,1,1
6,2,2
6,3,0
6,4,0
6,5,0
6,6,1
6,7,0
6,8,0
6,9,1
6,10,0
6,11,3
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
7,0,3
7,1,0
7,2,2
7,3,0
7,4,2
7,5,2
7,6,0
7,7,1
7,8,1
7,9,0
7,10,0
7,11,0
7,12,1
7,13,1
7,14,0
7,15,0
7,16,1
7,17,2
8,0,3
8,1,1
8,2,0
8,3,0
8,4,2
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,1
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
9,0,0
9,1,0
9,2,0
9,3,2
9,4,3
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,1
9,12,0
9,13,0
9,14,0
9,15,1
9,16,1
9,17,0
10,0,0
10,1,0
10,2,0
10,3,1
10,4,1
10,5,0
10,6,0
10,7,0
10,8,0
10,9,1
10,10,1
10,11,0
10,12,1
10,13,1
10,14,0
10,15,1
10,16,1
10,17,1
11,0,1
11,1,1
11,2,1
11,3,0
11,4,1
11,5,1
11,6,0
11,7,2
11,8,1
11,9,1
11,10,1
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,1
11,17,1
12,0,1
12,1,1
12,2,0
12,3,0
12,4,2
12,5,2
12,6,1
12,7,0
12,8,1
12,9,1
12,10,0
12,11,2
12,12,0
12,13,2
12,14,2
12,15,1
12,16,0
12,17,0
13,0,0
13,1,0
13,2,1
13,3,0
13,4,0
13,5,3
13,6,0
13,7,1
13,8,1
13,9,1
13,10,1
13,11,1
13,12,2
13,13,2
13,14,0
13,15,0
13,16,1
13,17,0
14,0,0
14,1,1
14,2,2
14,3,2
14,4,0
14,5,2
14,6,0
14,7,1
14,8,1
