iteration,individual,obj_0
1,6,4.003875968992248
2,4,4.003875968992248
3,0,1.003875968992248
3,1,1.003875968992248
3,2,1.003875968992248
3,3,1.003875968992248
3,4,1.003875968992248
3,5,1.003875968992248
3,6,1.003875968992248
3,7,1.003875968992248
3,8,1.003875968992248
3,9,1.003875968992248
4,0,1.003875968992248
4,1,1.003875968992248
4,2,1.003875968992248
4,3,1.003875968992248
4,4,1.003875968992248
4,5,1.003875968992248
4,6,1.003875968992248
4,7,1.003875968992248
4,8,1.003875968992248
4,9,1.003875968992248
5,0,4.003875968992248
5,8,4.003875968992248
6,1,4.003875968992248
7,7,7.003875968992248
8,0,1.003875968992248
8,1,1.003875968992248
8,2,1.003875968992248
8,3,1.003875968992248
8,4,1.003875968992248
8,5,1.003875968992248
8,6,1.003875968992248
8,7,1.003875968992248
8,8,1.003875968992248
8,9,1.003875968992248
9,6,4.003875968992248
9,9,4.003875968992248
10,0,1.003875968992248
10,1,1.003875968992248
10,2,1.003875968992248
10,3,1.003875968992248
10,4,1.003875968992248
10,5,1.003875968992248
10,6,1.003875968992248
10,7,1.003875968992248
10,8,1.003875968992248
10,9,1.003875968992248
11,0,4.003875968992248
11,5,4.003875968992248
11,8,4.003875968992248
11,9,4.003875968992248
12,0,1.003875968992248
12,1,1.003875968992248
12,2,1.003875968992248
12,3,1.003875968992248
12,4,1.003875968992248
12,5,1.003875968992248
12,6,1.003875968992248
12,7,1.003875968992248
12,8,1.003875968992248
12,9,1.003875968992248
13,7,4.003875968992248
14,1,4.003875968992248
14,2,4.003875968992248
15,3,4.003875968992248
16,4,4.003875968992248
16,5,4.003875968992248
16,7,4.003875968992248
17,3,7.003875968992248
18,2,4.003875968992248
18,7,4.003875968992248
18,8,4.003875968992248
19,4,10.003875968992247
20,6,4.003875968992248
21,3,4.003875968992248
21,9,4.003875968992248
22,1,7.003875968992248
23,4,4.003875968992248
23,9,4.003875968992248
24,7,4.003875968992248
24,8,4.003875968992248
25,0,4.003875968992248
26,0,1.003875968992248
26,1,1.003875968992248
26,2,1.003875968992248
26,3,1.003875968992248
26,4,1.003875968992248
26,5,1.003875968992248
26,6,1.003875968992248
26,7,1.003875968992248
26,8,1.003875968992248
26,9,1.003875968992248
27,5,7.003875968992248
28,4,4.003875968992248
28,5,4.003875968992248
28,7,4.003875968992248
29,7,4.003875968992248
30,0,4.003875968992248
30,1,4.003875968992248
31,3,4.003875968992248
32,2,4.003875968992248
33,0,1.003875968992248
33,1,1.003875968992248
33,2,1.003875968992248
33,3,1.003875968992248
33,4,1.003875968992248
33,5,1.003875968992248
33,6,1.003875968992248
33,7,1.003875968992248
33,8,1.003875968992248
33,9,1.003875968992248
34,0,7.003875968992248
35,0,1.003875968992248
35,1,1.003875968992248
35,2,1.003875968992248
35,3,1.003875968992248
35,4,1.003875968992248
35,5,1.003875968992248
35,6,1.003875968992248
35,7,1.003875968992248
35,8,1.003875968992248
35,9,1.003875968992248
36,3,4.003875968992248
36,8,4.003875968992248
37,2,4.003875968992248
37,6,4.003875968992248
37,9,4.003875968992248
38,4,4.003875968992248
38,7,4.003875968992248
39,2,7.003875968992248
40,1,7.003875968992248
41,0,7.003875968992248
42,0,7.003875968992248
42,9,7.003875968992248
43,0,1.003875968992248
43,1,1.003875968992248
43,2,1.003875968992248
43,3,1.003875968992248
43,4,1.003875968992248
43,5,1.003875968992248
43,6,1.003875968992248
43,7,1.003875968992248
43,8,1.003875968992248
43,9,1.003875968992248
44,3,4.003875968992248
45,4,4.003875968992248
45,9,4.003875968992248
46,0,7.003875968992248
47,3,4.003875968992248
47,5,4.003875968992248
47,6,4.003875968992248
47,7,4.003875968992248
48,0,4.003875968992248
48,4,4.003875968992248
48,5,4.003875968992248
48,8,4.003875968992248
49,9,4.003875968992248
50,1,4.003875968992248
50,5,4.003875968992248
50,6,4.003875968992248
50,9,4.003875968992248
51,4,7.003875968992248
52,1,4.003875968992248
52,4,4.003875968992248
52,8,4.003875968992248
52,9,4.003875968992248
53,0,7.003875968992248
54,2,7.003875968992248
55,5,7.003875968992248
56,5,7.003875968992248
57,0,1.003875968992248
57,1,1.003875968992248
57,2,1.003875968992248
57,3,1.003875968992248
57,4,1.003875968992248
57,5,1.003875968992248
57,6,1.003875968992248
57,7,1.003875968992248
57,8,1.003875968992248
57,9,1.003875968992248
58,9,7.003875968992248
59,6,4.003875968992248
60,0,4.003875968992248
60,1,4.003875968992248
61,0,4.003875968992248
61,1,4.003875968992248
61,4,4.003875968992248
61,7,4.003875968992248
62,7,4.003875968992248
62,9,4.003875968992248
63,9,4.003875968992248
64,0,4.003875968992248
64,1,4.003875968992248
64,2,4.003875968992248
64,3,4.003875968992248
64,4,4.003875968992248
64,5,4.003875968992248
65,3,7.003875968992248
66,4,10.003875968992247
67,0,4.003875968992248
67,2,4.003875968992248
67,3,4.003875968992248
67,5,4.003875968992248
68,2,4.003875968992248
68,7,4.003875968992248
68,9,4.003875968992248
69,3,7.003875968992248
69,5,7.003875968992248
70,3,7.003875968992248
70,4,7.003875968992248
71,2,4.003875968992248
71,5,4.003875968992248
71,6,4.003875968992248
72,1,7.003875968992248
73,3,7.003875968992248
73,9,7.003875968992248
74,0,1.003875968992248
74,1,1.003875968992248
74,2,1.003875968992248
74,3,1.003875968992248
74,4,1.003875968992248
74,5,1.003875968992248
74,6,1.003875968992248
74,7,1.003875968992248
74,8,1.003875968992248
74,9,1.003875968992248
75,9,4.003875968992248
76,0,7.003875968992248
76,3,7.003875968992248
77,1,4.003875968992248
77,2,4.003875968992248
78,0,4.003875968992248
78,5,4.003875968992248
78,8,4.003875968992248
78,9,4.003875968992248
79,1,10.003875968992247
80,1,7.003875968992248
81,7,7.003875968992248
82,0,4.003875968992248
82,5,4.003875968992248
82,8,4.003875968992248
82,9,4.003875968992248
83,6,4.003875968992248
83,8,4.003875968992248
84,3,7.003875968992248
84,9,7.003875968992248
85,1,4.003875968992248
85,4,4.003875968992248
85,6,4.003875968992248
86,0,4.003875968992248
86,1,4.003875968992248
87,2,4.003875968992248
87,6,4.003875968992248
88,0,4.003875968992248
88,3,4.003875968992248
89,4,4.003875968992248
89,6,4.003875968992248
90,0,4.003875968992248
90,2,4.003875968992248
90,3,4.003875968992248
90,7,4.003875968992248
90,9,4.003875968992248
91,4,7.003875968992248
92,5,4.003875968992248
92,6,4.003875968992248
93,5,4.003875968992248
93,9,4.003875968992248
94,1,13.003875968992247
95,0,7.003875968992248
96,3,4.003875968992248
97,0,4.003875968992248
97,5,4.003875968992248
97,7,4.003875968992248
97,8,4.003875968992248
98,7,4.003875968992248
98,9,4.003875968992248
99,2,7.003875968992248
100,5,4.003875968992248
100,6,4.003875968992248
101,2,10.003875968992247
102,3,7.003875968992248
103,0,4.003875968992248
103,2,4.003875968992248
103,4,4.003875968992248
104,7,4.003875968992248
104,8,4.003875968992248
104,9,4.003875968992248
105,1,4.003875968992248
105,5,4.003875968992248
105,6,4.003875968992248
106,7,7.003875968992248
107,3,4.003875968992248
107,4,4.003875968992248
108,1,7.003875968992248
109,4,7.003875968992248
110,7,7.003875968992248
111,7,7.003875968992248
112,2,7.003875968992248
